 Project Number , Site Work , Structures , Requirements , Overhead , Profit , Prevailing Wages , Insurance , Third Party Management , Total Constr Costs ,GC Fee Percentage (of Total Costs),GC Fee Percentage (of Hard Costs)
 CA-24-514 ," $3,108,000 "," $41,287,428 "," $2,693,726 "," $951,783 "," $2,855,349 ", $-   ," $1,130,700 ", $-   ," $52,026,986 ",15%,18%
 CA-24-515 ," $3,608,713 "," $39,668,253 "," $1,998,015 "," $1,665,012 "," $4,329,034 "," $23,323,546 "," $778,000 "," $435,000 "," $77,297,425 ",11%,22%
 CA-24-516 ," $1,875,000 "," $38,879,000 "," $3,536,500 "," $1,607,500 "," $2,572,000 "," $23,546,000 "," $778,000 "," $435,000 "," $74,669,320 ",11%,22%
 CA-24-517 ," $1,288,604 "," $39,887,078 "," $4,005,000 "," $1,945,054 ", $-   , $-   ," $1,350,000 ", $-   ," $49,566,562 ",15%,18%
 CA-24-518 ," $300,000 "," $11,205,482 "," $685,079 "," $228,360 "," $685,079 ", $-   , $-   ," $355,000 "," $13,459,000 ",12%,14%
 CA-24-519 ," $4,569,444 "," $14,718,889 "," $1,253,333 "," $822,500 "," $822,500 ", $-   ," $313,333 "," $210,000 "," $22,710,000 ",14%,22%
 CA-24-520 ," $1,750,000 "," $44,824,508 "," $2,794,470 "," $987,380 "," $2,962,139 ", $-   ," $1,599,555 ", $-   ," $54,918,052 ",15%,19%
 CA-24-521 ," $10,900,000 "," $105,798,350 "," $7,001,901 "," $2,474,005 "," $7,422,015 ", $-   ," $3,933,668 ", $-   ," $137,529,939 ",15%,20%
 CA-24-522 ," $1,081,745 "," $16,915,231 ", $-   ," $1,556,250 "," $821,662 ", $-   ," $679,871 "," $250,000 "," $21,521,453 ",14%,18%
 CA-24-523 ," $3,500,000 "," $50,116,108 "," $1,245,154 "," $1,285,049 "," $1,285,049 ", $-   ," $1,500,000 "," $75,000 "," $59,006,360 ",9%,11%
 CA-24-524 , $-   ," $13,815,953 "," $1,105,276 "," $414,479 "," $414,479 ", $-   ," $207,239 ", $-   ," $16,095,586 ",13%,16%
 CA-24-525 ," $4,018,760 "," $45,632,111 "," $3,491,997 "," $784,674 "," $784,674 ", $-   ," $858,624 "," $225,000 "," $55,795,839 ",11%,13%
 CA-24-526 ," $6,589,300 "," $21,109,695 "," $1,320,000 "," $690,929 "," $690,929 ", $-   ," $304,009 "," $150,000 "," $31,161,910 ",10%,14%
 CA-24-527 ," $1,875,000 "," $33,725,000 "," $2,000,000 "," $800,000 "," $800,000 ", $-   , $-   ," $505,500 "," $40,505,500 ",9%,11%
 CA-24-528 ," $419,691 "," $4,341,882 "," $283,699 "," $94,566 "," $283,699 ", $-   ," $47,283 "," $270,000 "," $5,740,820 ",12%,16%
 CA-24-529 ," $1,727,579 "," $23,647,420 "," $1,524,500 "," $807,985 "," $1,346,642 ", $-   ," $290,875 ", $-   ," $29,345,000 ",14%,17%
 CA-24-530 ," $1,500,000 "," $15,286,680 "," $520,000 "," $520,000 "," $520,000 ", $-   ," $185,320 ", $-   ," $18,532,000 ",9%,11%
 CA-24-531 ," $2,000,000 "," $34,309,598 "," $442,134 "," $589,512 "," $589,512 ", $-   ," $180,000 ", $-   ," $38,110,756 ",5%,5%
 CA-24-532 ," $7,656,243 "," $32,884,531 "," $1,560,000 "," $1,243,750 "," $1,243,750 ", $-   ," $733,563 ", $-   ," $45,752,500 ",10%,15%
 CA-24-533 , $-   ," $40,575,069 "," $2,434,504 "," $860,191 "," $2,580,574 ", $-   ," $1,393,510 ", $-   ," $47,843,848 ",15%,18%
 CA-24-534 , $-   ," $39,214,624 "," $1,624,421 "," $885,253 "," $885,253 "," $10,475,462 "," $495,378 ", $-   ," $53,810,391 ",7%,10%
 CA-24-535 ," $4,508,281 "," $105,777,378 "," $3,593,786 "," $3,640,744 ", $-   , $-   ," $2,525,681 ", $-   ," $120,145,870 ",8%,9%
 CA-24-536 ," $3,383,597 "," $15,008,624 "," $2,126,351 "," $1,144,954 ", $-   ," $3,678,444 ", $-   , $-   ," $26,196,970 ",12%,22%
 CA-24-537 ," $1,240,942 "," $18,394,197 "," $1,700,760 "," $569,784 "," $569,784 "," $7,000,000 "," $299,251 "," $44,000 "," $30,115,006 ",10%,17%
